Wall time,Step,Value
1731824150.3129265,1,0.025558950379490852
1731824482.0155141,2,0.01997230015695095
1731824816.4421487,3,0.017268003895878792
1731825158.856476,4,0.016834553331136703
1731825491.2414382,5,0.02658037282526493
1731825820.7256138,6,0.023770401254296303
1731826149.3215802,7,0.018508723005652428
1731826485.1934743,8,0.023500213399529457
1731826813.963656,9,0.016897523775696754
1731827142.0038214,10,0.020659301429986954
1731827460.3679683,11,0.01881508156657219
1731827788.2149103,12,0.021948887035250664
1731828116.343524,13,0.01705772615969181
1731828446.246079,14,0.017191143706440926
1731828776.2245498,15,0.02071814239025116
1731829106.0183923,16,0.016748877242207527
1731829425.3516724,17,0.018820593133568764
1731829754.6540234,18,0.02075248211622238
1731830092.8532128,19,0.01866072230041027
1731830435.1085386,20,0.0202487800270319
1731830770.487296,21,0.019844602793455124
1731831120.689743,22,0.019195321947336197
1731831469.3798642,23,0.01656871847808361
1731831811.5453095,24,0.015573208220303059
1731832150.1073518,25,0.019585277885198593
1731832500.1512363,26,0.018409909680485725
1731832837.518052,27,0.014798345975577831
1731833173.7107897,28,0.015473315492272377
1731833531.086719,29,0.015897449105978012
1731833870.4877334,30,0.01706252060830593
1731834205.737937,31,0.017779601737856865
1731834543.6434278,32,0.01771991327404976
1731834889.512356,33,0.01712765544652939
1731835225.2543752,34,0.014730996452271938
1731835561.6707745,35,0.01792697049677372
1731835886.0032306,36,0.01717129722237587
1731836224.1996646,37,0.018855027854442596
1731836561.0795734,38,0.015294027514755726
1731836900.779919,39,0.013191614300012589
1731837253.7806976,40,0.016951192170381546
1731837579.048939,41,0.015112574212253094
1731837917.4174194,42,0.01589670404791832
1731838265.6929731,43,0.0166168250143528
1731838602.2964904,44,0.015665993094444275
1731838938.5332065,45,0.01179829053580761
1731839285.2166488,46,0.019788414239883423
1731839627.3452146,47,0.01411418616771698
1731839964.869157,48,0.013015554286539555
1731840312.8068433,49,0.017524972558021545
1731840653.5942545,50,0.01407406572252512
